filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name
C-links,Aufgenommen (Dez 2021),388.0,408.0,,classifier,1.0,yes,no,no,no,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fclass&files=C-links.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fclass%2F_facecam&files=faceCam_C-links_trimmed.mp4,class:C-links
FLACHHAND-links,Aufgenommen (Dez 2021),224.0,244.0,,classifier,1.0,yes,no,no,no,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fclass&files=FLACHHAND-links.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fclass%2F_facecam&files=faceCam_FLACHHAND-links_trimmed.mp4,class:FLACHHAND-links
