filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name
1.PERSON,Aufgenommen (Feb 2023),164.0,193.0,,,1.0,no,yes,no,<mein>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fposs&files=1.PERSON.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fposs%2F_facecam&files=faceCam_1.PERSON_trimmed.mp4,poss:1.PERSON
2.PERSON,Aufgenommen am 30.03.22,203.0,227.0,,,1.0,no,no,no,<dein>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fposs&files=2.PERSON.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fposs%2F_facecam&files=faceCam_2.PERSON_trimmed.mp4,poss:2.PERSON
2.PERSON(-plural),Aufgenommen (Feb 2023),180.0,230.0,,,1.0,no,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fposs&files=2.PERSON(-plural).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fposs%2F_facecam&files=faceCam_2.PERSON(-plural)_trimmed.mp4,poss:2.PERSON(-plural)
3.PERSON,Aufgenommen,188.0,212.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fposs&files=3.PERSON.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fposs%2F_facecam&files=faceCam_3.PERSON_trimmed.mp4,poss:3.PERSON
3.PERSON(-plural),Aufgenommen (Feb 2023),179.0,218.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fposs&files=3.PERSON(-plural).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fposs%2F_facecam&files=faceCam_3.PERSON(-plural)_trimmed.mp4,poss:3.PERSON(-plural)
