filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name
IRRTUM,Aufgenommen 29.09.22,200.0,218.0,,,1.0,no,yes,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fspez&files=IRRTUM.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fspez%2F_facecam&files=faceCam_IRRTUM_trimmed.mp4,spez:IRRTUM
KEIN,Aufgenommen 29.09.22,169.0,218.0,,,2.0,no,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fspez&files=KEIN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fspez%2F_facecam&files=faceCam_KEIN_trimmed.mp4,spez:KEIN
KURZFRISTIG,Aufgenommen am 30.03.22,199.0,228.0,,,,,,,,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fspez&files=KURZFRISTIG.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fspez%2F_facecam&files=faceCam_KURZFRISTIG_trimmed.mp4,spez:KURZFRISTIG
OHNE,"Aufgenommen, aber die Punkte des Hand vom Skelett fehlen! Problematisch! Judith informieren!!!",263.0,279.0,,Speziell,1.0,no,yes,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fspez&files=OHNE.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fspez%2F_facecam&files=faceCam_OHNE_trimmed.mp4,spez:OHNE
PLOETZLICH,Aufgenommen (Sept 2021),205.0,222.0,,Speziell,2.0,no,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fspez&files=PLOETZLICH.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fspez%2F_facecam&files=faceCam_PLOETZLICH_trimmed.mp4,spez:PLOETZLICH
