filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name
ANDERS,"Aufgenommen (Sept 2021)
Wiederholen (Feb 2023)!!!",221.0,244.0,,,2.0,yes,no,yes,<anders>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ANDERS.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ANDERS_trimmed.mp4,ANDERS
ANFANGEN,Aufgenommen (Sept 2021),205.0,245.0,,,2.0,no,no,no,<anfang>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ANFANGEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ANFANGEN_trimmed.mp4,ANFANGEN
ANFUEHRUNGSZEICHEN,Aufgenommen (Dez 2021),235.0,256.0,,,2.0,no,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ANFUEHRUNGSZEICHEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ANFUEHRUNGSZEICHEN_trimmed.mp4,ANFUEHRUNGSZEICHEN
ANHALTEN,Neu aufgenommen am 01.07.21,156.0,200.0,,,1.0,yes,no,no,<halt>,"{01864781} S: (v) stop (stop%2:38:00::), halt (halt%2:38:01::) (come to a halt, stop moving) ""the car stopped""; ""She stopped in front of a store window""",,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ANHALTEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ANHALTEN_trimmed.mp4,ANHALTEN
ANKOMMEN,"Neu aufgenommen am 01.07.21
",168.0,179.0,,,2.0,no,no,no,<an>,"{02009962} S: (v) arrive (arrive%2:38:00::), get (get%2:38:00::), come (come%2:38:04::) (reach a destination; arrive by movement or progress) ""She arrived home at 7 o'clock""; ""She didn't get to Chicago until after midnight""",,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ANKOMMEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ANKOMMEN_trimmed.mp4,ANKOMMEN
ANPASSEN,Aufgenommen (Dez 2021),220.0,260.0,,,2.0,yes,no,yes,<anpassen>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ANPASSEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ANPASSEN_trimmed.mp4,ANPASSEN
ANSEHEN,Aufgenommen 29.09.22,179.0,196.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ANSEHEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ANSEHEN_trimmed.mp4,ANSEHEN
ARBEITEN,Aufgenommen (Sept 2021),216.0,251.0,,,2.0,no,no,yes,<arbeiten>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ARBEITEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ARBEITEN_trimmed.mp4,ARBEITEN
ARZT,Aufgenommen (Sept 2021),278.0,304.0,,,2.0,no,no,yes,<arzt>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=ARZT.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_ARZT_trimmed.mp4,ARZT
AT-ZEICHEN,Aufgenommen 21.06.22,232.0,266.0,,,1.0,no,no,no,<at>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AT-ZEICHEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AT-ZEICHEN_trimmed.mp4,AT-ZEICHEN
