filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name
BARRIERE,Aufgenommen (Sept 2021),202.0,220.0,,,2.0,yes,no,yes,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BARRIERE.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BARRIERE_trimmed.mp4,BARRIERE
BAUM,Aufgenommen (Sept 2021),258.0,293.0,,,2.0,no,yes?,no?,<baum>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BAUM.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BAUM_trimmed.mp4,BAUM
BAUSTELLE,"Aufgenommen (Sept 2021)
Wiederholen (Feb 2023)!!!",195.0,233.0,,,2.0,no,no,no,<baustelle>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BAUSTELLE.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BAUSTELLE_trimmed.mp4,BAUSTELLE
BEHANDELN,"Aufgenommen (Sept 2021)
Wiederholen (Feb 2023)!!!",179.0,245.0,,,2.0,yes,no,no,<behandeln>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BEHANDELN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BEHANDELN_trimmed.mp4,BEHANDELN
BEHINDERT,"Aufgenommen (Dez 2021)
Wiederholen (Feb 2023)!!!",177.0,226.0,,,2.0,yes,no,yes,<behindert>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BEHINDERT.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BEHINDERT_trimmed.mp4,BEHINDERT
BEHOERDE,Aufgenommen 29.09.22,203.0,228.0,,,2.0,yes,no,yes,<behörde>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BEHOERDE.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BEHOERDE_trimmed.mp4,BEHOERDE
BEISPIEL,Aufgenommen 29.09.22,198.0,236.0,,,2.0,no,no,yes,<beispiel>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BEISPIEL.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BEISPIEL_trimmed.mp4,BEISPIEL
BEKOMMEN,Aufgenommen 29.09.22,212.0,233.0,,,2.0,yes,no,no,<bekomm>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BEKOMMEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BEKOMMEN_trimmed.mp4,BEKOMMEN
BEOBACHTEN,Aufgenommen 29.09.22,312.0,366.0,,,1.0,yes,no,no,<beobachten>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BEOBACHTEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BEOBACHTEN_trimmed.mp4,BEOBACHTEN
BERATEN,Aufgenommen 29.09.22,202.0,247.0,,,2.0,yes,no,no,<beraten>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BERATEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BERATEN_trimmed.mp4,BERATEN
BEREICH,"Aufgenommen (Sept 2021), Einhändig!
Wiederholen (Feb 2023)!!!",177.0,237.0,,,1.0,yes,no,no,<bereich>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BEREICH.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BEREICH_trimmed.mp4,BEREICH
BERLIN,Aufgenommen 21.06.22,219.0,244.0,,Ort,1.0,no,yes,no,<berlin>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BERLIN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BERLIN_trimmed.mp4,BERLIN
BESCHEID,Aufgenommen 29.09.22,301.0,326.0,,,1.0,no,no,no,<bescheid>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BESCHEID.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BESCHEID_trimmed.mp4,BESCHEID
BESCHEID(-auf-mich),Aufgenommen 29.09.22,205.0,230.0,,,1.0,no,yes,no,<bescheid>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BESCHEID(-auf-mich).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BESCHEID(-auf-mich)_trimmed.mp4,BESCHEID(-auf-mich)
BESETZEN,Aufgenommen 29.09.22,191.0,218.0,,,2.0,yes,no,no,<besetzt>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BESETZEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BESETZEN_trimmed.mp4,BESETZEN
BESSER-WERDEN,Aufgenommen 29.09.22,183.0,240.0,,,2.0,no,no,no,<besser besser besser>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BESSER-WERDEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BESSER-WERDEN_trimmed.mp4,BESSER-WERDEN
BESTE,Aufgenommen 29.09.22,182.0,203.0,,,1.0,no,no,no,<beste>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BESTE.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BESTE_trimmed.mp4,BESTE
BEZUG,Aufgenommen (Sept 2021),239.0,260.0,,,2.0,yes,no,yes,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BEZUG.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BEZUG_trimmed.mp4,BEZUG
BIELEFELD,Aufgenommen (Feb 2023),194.0,242.0,,Ort,1.0,no,yes,no,<bielefeld>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BIELEFELD.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BIELEFELD_trimmed.mp4,BIELEFELD
BILD,Aufgenommen 21.06.22,226.0,255.0,,,2.0,yes,no,yes,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BILD.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BILD_trimmed.mp4,BILD
BIS,"Aufgenommen (Sept 2021)
Wiederholen (Feb 2023)!!!",149.0,168.0,,,1.0,yes,no,no,<bis>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BIS.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BIS_trimmed.mp4,BIS
BIS-JETZT,Aufgenommen 29.09.22,201.0,222.0,,,1.0,no,no,no,<bis>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BIS-JETZT.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BIS-JETZT_trimmed.mp4,BIS-JETZT
BIS2,Aufgenommen (Dez 2021),221.0,233.0,,,2.0,yes,no,yes,<bis>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BIS2.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BIS2_trimmed.mp4,BIS2
BITTE,Neu aufgenommen am 22.06.22,227.0,246.0,,,1.0,no,yes,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BITTE.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BITTE_trimmed.mp4,BITTE
BLEIBEN,"Aufgenommen (Dez 2021)
Wiederholen (Feb 2023)!!!",150.0,187.0,,,2.0,no,no,yes,<bleib>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BLEIBEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BLEIBEN_trimmed.mp4,BLEIBEN
BLINKEN,"Aufgenommen (Sept 2021)
Wiederholen (Feb 2023)!!!",211.0,268.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BLINKEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BLINKEN_trimmed.mp4,BLINKEN
BOMBE,"Aufgenommen (Sept 2021)
Wiederholen (Feb 2023)!!!",160.0,190.0,,,2.0,no,no,yes,<bombe>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BOMBE.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BOMBE_trimmed.mp4,BOMBE
BONN,"Aufgenommen (Dez 2021)
Wiederholen (Feb 2023)!!!",196.0,211.0,,Ort,1.0,no,yes,no,<bonn>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BONN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BONN_trimmed.mp4,BONN
BRANDENBURG,Aufgenommen (Feb 2023),155.0,202.0,,Ort,2.0,no,no,yes,<brandenburg>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BRANDENBURG.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BRANDENBURG_trimmed.mp4,BRANDENBURG
BRAUCH-NICHT,Aufgenommen 29.09.22,191.0,225.0,,,2.0,no,no,no,<brauch nicht>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BRAUCH-NICHT.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BRAUCH-NICHT_trimmed.mp4,BRAUCH-NICHT
BRAUCHEN,Aufgenommen am 30.03.22,217.0,240.0,,,2.0,no,no,yes,<brauch>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BRAUCHEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BRAUCHEN_trimmed.mp4,BRAUCHEN
BREMEN,Aufgenommen (Feb 2023),200.0,237.0,,Ort,1.0,no,yes,no,<bremen>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BREMEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BREMEN_trimmed.mp4,BREMEN
BREMSEN,Aufgenommen (Sept 2021),257.0,290.0,,,1.0,yes,no,no,<brems>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BREMSEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BREMSEN_trimmed.mp4,BREMSEN
BRUECKE,"Aufgenommen (Sept 2021)
Wiederholen (Feb 2023)!!!",171.0,200.0,,,2.0,yes,no,yes,<bruecke>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BRUECKE.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BRUECKE_trimmed.mp4,BRUECKE
BUS,Aufgenommen (Sept 2021),246.0,264.0,,,2.0,no,no,yes,<bus>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BUS.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BUS_trimmed.mp4,BUS
CHAOS,Aufgenommen (Sept 2021),232.0,305.0,,,2.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=CHAOS.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_CHAOS_trimmed.mp4,CHAOS
DA,Aufgenommen (Sept 2021),234.0,248.0,,,1.0,yes,no,no,<da>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DA.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DA_trimmed.mp4,DA
DANKE,"Aufgenommen 29.09.22
Wiederholen (Feb 2023)!!!
Ohne Kopfnicken, Annotation prüfen ggf. korrigieren !!!",205.0,230.0,,,1.0,no,no,no,<danke>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DANKE.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DANKE_trimmed.mp4,DANKE
DARF,Aufgenommen (Dez 2021),206.0,222.0,,,1.0,no,no,no,<darf>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DARF.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DARF_trimmed.mp4,DARF
DAZU,Aufgenommen (Sept 2021),266.0,287.0,,,1.0,yes,no,no,<dazu>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DAZU.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DAZU_trimmed.mp4,DAZU
DAZWISCHENKOMMEN,Aufgenommen (Sept 2021),254.0,265.0,,,2.0,yes,no,yes,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DAZWISCHENKOMMEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DAZWISCHENKOMMEN_trimmed.mp4,DAZWISCHENKOMMEN
DEFEKT,Aufgenommen am 30.03.22,190.0,223.0,,,2.0,yes,no,yes,<defekt>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DEFEKT.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DEFEKT_trimmed.mp4,DEFEKT
DEMOLIEREN,Aufgenommen (Sept 2021),210.0,250.0,,,2.0,yes,no,yes,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DEMOLIEREN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DEMOLIEREN_trimmed.mp4,DEMOLIEREN
DESWEGEN,"Neu aufgenommen am 30.03.22, Video da!!!
---
Wenn, neue Referenzvideo da ist, dann alle Annotationsdaten überprüfen!!! 
Alte Gebärde vom Sept 2021 aufgenommen, Mundbild unnatürlich!",191.0,208.0,,,2.0,no,no,yes,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DESWEGEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DESWEGEN_trimmed.mp4,DESWEGEN
DEUTSCH,"Aufgenommen 29.09.22, MB nicht zu verstehen! Nur SCH ist zu sehen. Bitte sauber aussprechen!
Wiederholen (Feb 2023)!!!",207.0,222.0,,,1.0,no,yes,no,<deutsch>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DEUTSCH.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DEUTSCH_trimmed.mp4,DEUTSCH
DEUTZ,Aufgenommen (Feb 2023),166.0,189.0,,Ort,1.0,no,yes,no,<deutz>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DEUTZ.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DEUTZ_trimmed.mp4,DEUTZ
DIREKT,"Fehlt, bitte wie Satz 278
Wenn RV da ist, Annotation prüfen!
Aufgenommen (Feb 2023)",207.0,227.0,,,1.0,yes,no,no,<direkt>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DIREKT.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DIREKT_trimmed.mp4,DIREKT
DOCH,Aufgenommen (Dez 2021),228.0,238.0,,,2.0,no,no,yes,<doch>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DOCH.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DOCH_trimmed.mp4,DOCH
DOLLAR,"Aufgenommen 21.06.22
Wiederholen (Feb 2023)!!!",187.0,207.0,,,2.0,no,no,yes,<dollar>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DOLLAR.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DOLLAR_trimmed.mp4,DOLLAR
DORTHIN,"Neu aufgenommen am 01.07.21, alles ok.",136.0,163.0,,,1.0,yes,no,no,no,"{00110073} S: (adv) there (there%4:02:01::), thither (thither%4:02:00::) (to or toward that place; away from the speaker) ""go there around noon!""",,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DORTHIN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DORTHIN_trimmed.mp4,DORTHIN
DRESDEN,"Aufgenommen (Sept 2021)
Wiederholen (Feb 2023)!!!",172.0,211.0,,Ort,1.0,no,yes,no,<dresden>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DRESDEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DRESDEN_trimmed.mp4,DRESDEN
DRINNEN,Aufgenommen (Dez 2021),242.0,264.0,,,2.0,yes,no,yes,<im>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DRINNEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DRINNEN_trimmed.mp4,DRINNEN
DU,"Aufgenommen 29.09.22, bitte große Raum, vom Brust nach vorne ziehen - DU.
Wiederholen (Feb 2023)!!!",182.0,199.0,,,1.0,no,no,no,<du>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DU.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DU_trimmed.mp4,DU
DUESSELDORF,Aufgenommen 21.06.22,241.0,274.0,,Ort,1.0,no,no,no,<düsseldorf>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DUESSELDORF.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DUESSELDORF_trimmed.mp4,DUESSELDORF
DURCH,Aufgenommen am 30.03.22,192.0,216.0,,,2.0,yes,no,yes,<durch>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DURCH.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DURCH_trimmed.mp4,DURCH
DURCHFAHREN,ok,142.0,210.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DURCHFAHREN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DURCHFAHREN_trimmed.mp4,DURCHFAHREN
DURCHFAHREN(-links),Aufgenommen (Dez 2021),216.0,245.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DURCHFAHREN(-links).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DURCHFAHREN(-links)_trimmed.mp4,DURCHFAHREN(-links)
DURCHFAHREN(-oben),Aufgenommen (Dez 2021),203.0,234.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DURCHFAHREN(-oben).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DURCHFAHREN(-oben)_trimmed.mp4,DURCHFAHREN(-oben)
DURCHFAHREN(-rechts),Aufgenommen (Dez 2021),227.0,248.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=DURCHFAHREN(-rechts).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_DURCHFAHREN(-rechts)_trimmed.mp4,DURCHFAHREN(-rechts)
